No,Product_name,Company,Ai
13325,"AZUFRE 98,5","FIELD PROTECTION, S.L.","AZUFRE 98,5% [DP] P/P"
13332,DECCOSOL-C,DECCO IBERICA POST COSECHA S.A.U.,DETERGENTE BIODEGRADABLE 4% [SL] P/V
13342,CUPROXI,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
13348,NU- FILM 17,"AGRICHEM, S.A.",DIMENTENO 96% [EC] P/V
13349,MAXIMIX,"AGRICHEM, S.A.",POLIMENTENO 96% [EC] P/V
13353,TRICUPROXI MZ,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",MANCOZEB 20% + OXICLORURO DE COBRE 30% (EXPR. EN CU) [WP] P/P
13487,CITROSOL A-IMAD-2,PRODUCTOS CITROSOL S.A.,"IMAZALIL 0,2% [EW] P/V"
13557,OVIPHYT,COMPTOIR COMMERCIAL DES LUBRIFICANTS CCL,"ACEITE DE PARAFINA 81,7% [EC] P/V"
13568,GUZAN,"BRANDT EUROPE, S.L.",MANCOZEB 80% [WP] P/P
13599,PROCER M-40,PROBELTE S.A.U.,MCPA 40% (SAL POTÁSICA) [SL] P/V
13659,AGROACEITE,LIFE SCIENTIFIC SPAIN S.L.U.,ACEITE DE PARAFINA 83% [EC] P/V
13688,DELTAPLAN,"BAYER CROPSCIENCE, S.L.","DELTAMETRIN 2,5% [EC] P/V"
13760,ELOGIUM,"SIPCAM INAGRA, S.A.",ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
13764,SOLASAN 40,TAMINCO BVBA,METAM SODIO 40% (ANHIDRO) [SL] P/V
13768,TRAGUSAN 50,TAMINCO BVBA,METAM SODIO 50% (ANHIDRO) [SL] P/V
13789,DITHANE M 45,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB 80% [WP] P/P
13792,CURATIO,BIOFA AG,POLISULFURO DE CALCIO 38% [DC] P/V
13847,IVENOL MASSÓ,"COMERCIAL QUÍMICA MASSÓ, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
13848,IVENOL-G,"COMERCIAL QUÍMICA MASSÓ, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
13944,BELPRON F-50,"ADAMA AGRICULTURE ESPAÑA, S.A.",FOLPET 50% [SC] P/V
13950,MCPA DIMETILAMINA 40,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL AMINA) [SL] P/V
13964,CALDO BORDELES VALLES BLUE,"IQV AGRO ESPAÑA, S.L.",SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WP] P/P
13971,MOJANTE B,"FMC Agricultural Solutions, S.A.U.",MOJANTE NO IONICO 20% [SL] P/V
14015,CARGOLUQ,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
14108,RODIME-40,"FMC Agricultural Solutions, S.A.U.",Dimetoato 40% [EC] P/V
14113,CAPTAZEL WG,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
14129,HERBICRUZ LINO 400 LS,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL AMINA) [SL] P/V
14132,DICONOX,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
14134,GRA-NET,"COMERCIAL QUÍMICA MASSÓ, S.A.","PIRETRINAS 0,2% (EXTRACTO DE PELITRE) [DP] P/P"
14328,U-46 COMBI FLUID,"NUFARM ESPAÑA, S.A.","2,4-D ACIDO 34,5% (SAL AMINA) + MCPA 34,5% (SAL AMINA) [SL] P/V"
14330,RAISAN-50,"LAINCO, S.A.",METAM SODIO 50% (ANHIDRO) [SL] P/V
14331,FOLPERAN,"ADAMA AGRICULTURE ESPAÑA, S.A.",FOLPET 50% [SC] P/V
14347,U-46 M FLUID 40,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL AMINA) [SL] P/V
14372,MOJANTE ADHERENTE,"FMC Agricultural Solutions, S.A.U.",ALCOHOL POLIVINILICO 30% + DODECILBENCENO SULFONATO AMONICO (DDSA) 20% [EC] P/V
14410,ESSASOL,PRODUCTOS CITROSOL S.A.,DETERGENTE BIODEGRADABLE 4% [SL] P/V
14411,LIMAGRAM-I,"SIPCAM INAGRA, S.A.",METALDEHIDO 3% (ADICIONADO DE COLORANTE) [RB] P/P
14413,HERMENON EXTRA,"NUFARM ESPAÑA, S.A.",MCPA 50% (SAL DIMETILAMINA) [SL] P/V
14422,ROGOR L 40,"FMC Agricultural Solutions, S.A.U.",Dimetoato 40% [EC] P/V
14438,SENCOR 600 SC N,"BAYER CROPSCIENCE, S.L.",METRIBUZINA 60% [SC] P/V
14470,CARGOL-MAT,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
14527,RASS 40 SL,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
14534,ZZ-CUPROCOL,"SYNGENTA ESPAÑA, S.A.",OXICLORURO DE COBRE 70% (EXPR. EN CU) [SC] P/V
14578,CLORTUREX FLO,"ADAMA AGRICULTURE ESPAÑA, S.A.",CLORTOLURON 50% [SC] P/V
14594,U-46 SP FLUID,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
14612,OXICOOP 50,"IQV AGRO ESPAÑA, S.L.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
14617,CORBEN,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
14620,AGROACEITE BLANCO,LIFE SCIENTIFIC SPAIN S.L.U.,"Aceite de parafina 65,4% [EW] P/V"
14634,PROTEINAS HIDROLIZADAS LIFE,"SPACHEM, S.L.",PROTEINAS HIDROLIZADAS 30% [SL] P/V
14754,"BELPRON 98,5",PROBELTE S.A.U.,"AZUFRE 98,5% [DP] P/P"
14765,TERRAZOLE,ARYSTA LIFESCIENCE REGISTRATIONS GREAT BRITAIN LTD.,ETRIDIAZOL 48% [EC] P/V
14769,VAPOR-GARD,"AGRICHEM, S.A.",DIMENTENO 96% [EC] P/V
14823,CUPERTINE SUPER,"IQV AGRO ESPAÑA, S.L.","CIMOXANILO 3% + SULFATO CUPROCALCICO 22,5% (EXPR. EN CU) [WP] P/P"
14826,FRUT HORMON CONCENTRADO,L. GOBBI S.R.L.,"ANA 8,4% [SL] P/V"
14889,PROCUPRICO 60-4,PROBELTE S.A.U.,AZUFRE MICRONIZADO 60% + OXICLORURO DE COBRE 4% (EXPR. EN CU) [DP] P/P
14898,GERMIDORM C,ARYSTA LIFESCIENCE BENELUX Sprl.,CLORPROFAM 1% [DP] P/P
14904,MALVIN 80 WG,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
14923,ROYAL MH NO BROTES,ARYSTA LIFESCIENCE REGISTRATIONS GREAT BRITAIN LTD.,"HIDRAZIDA MALEICA 18,65% [SL] P/V"
14938,METHAM-NA-50,TAMINCO BVBA,METAM SODIO 50% (ANHIDRO) [SL] P/V
14945,AHM/MCPA DMA70,NUFARM UK LIMITED (WYKE-UK),MCPA 75% (SAL DIMETILAMINA) [SL] P/V
14952,GIBERKEY,AIFAR AGROCHIMICA S.R.L.,ACIDO GIBERELICO 10% (1 G/TABLETA) [ST] P/P
14954,AGROSUL MICRONIZADO,LIFE SCIENTIFIC SPAIN S.L.U.,"AZUFRE 98,5% [DP] P/P"
14962,EMECEPEA 40 K,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
14976,AGROSUL OXIDANTE,LIFE SCIENTIFIC SPAIN S.L.U.,AZUFRE 80% [DP] P/P
15002,MOJANTE LAINCO,"LAINCO, S.A.",MOJANTE NO IONICO 20% [SL] P/V
15027,AFROSAN MZ-8,"INDUSTRIAS AFRASA, S.A.",MANCOZEB 80% [WP] P/P
15041,FOAMEX,"CIA. IBERICA BROGDEX, S. A.",2-FENILFENOL 13% (EXPR. EN OPP) [SL] P/V
15042,SAFOAM,"CIA. IBERICA BROGDEX, S. A.",DETERGENTE BIODEGRADABLE 4% [SL] P/V
15049,PREVICUR N,"BAYER CROPSCIENCE, S.L.","PROPAMOCARB 60,5% (CLORHIDRATO) [SL] P/V"
15093,AHM/MCPA K40,NUFARM UK LIMITED (WYKE-UK),MCPA 40% (SAL POTÁSICA) [SL] P/V
15101,BRAVO-50,"SYNGENTA ESPAÑA, S.A.",CLORTALONIL 50% [SC] P/V
15118,HERBIDENS,NUFARM UK LIMITED (WYKE-UK),MCPA 40% (SAL POTÁSICA) [SL] P/V
15139,SEMEFIL TAB,"NUFARM ESPAÑA, S.A.","ACIDO GIBERELICO 18% (0,9 G/TABLETA) [TB] P/P"
15150,PIX,BASF ESPAÑOLA S.L.U.,"MEPICUAT 3,8% (CLORURO) [SL] P/V"
15154,ENOVIT METIL,"SIPCAM INAGRA, S.A.",METIL TIOFANATO 70% [WP] P/P
15173,CITROL-INA,SIPCAM IBERIA S.L.,ACEITE DE PARAFINA 79% [EC] P/V
15188,MULTI-US,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,CERA MONTANA 20% [EW] P/V
15228,GIBER FRUIT LIQUIDO,"NUFARM ESPAÑA, S.A.",ACIDO GIBERELICO 2% [SL] P/V
15292,QUIMAZUFRE 80 WG,AGROSTULLN GMBH,AZUFRE 80% [WG] P/P
15306,RIMITRAP,"ADAMA AGRICULTURE ESPAÑA, S.A.",GOMA SINTETICA 100% (PLACA DE PLÁSTICO ENGOMADA) [XX] P/P
15314,CUPRAFOR 50,"ALINTRA, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
15319,CITROSOL A IMAD 3,PRODUCTOS CITROSOL S.A.,"IMAZALIL 0,3% [EW] P/V"
15325,SENCOR LIQUID,"BAYER CROPSCIENCE, S.L.",METRIBUZINA 60% [SC] P/V
15363,NUFOZEBE,"UPL IBERIA, S.A.",MANCOZEB 80% [WP] P/P
15387,VYDATE 10 L,"DU PONT IBERICA, S.L.",OXAMILO 10% [SL] P/V
15432,MCPA 40 VALLES,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
15442,CLORTOLURON 50 AN,"ADAMA AGRICULTURE ESPAÑA, S.A.",CLORTOLURON 50% [SC] P/V
15454,COTTONEX 50 SC,"ADAMA AGRICULTURE ESPAÑA, S.A.",FLUOMETURON 50% [SC] P/V
15457,"DECCOZIL S-7,5","ADAMA AGRICULTURE ESPAÑA, S.A.","IMAZALIL 7,5% (SULFATO) [SL] P/V"
15465,B NINE,ARYSTA LIFESCIENCE REGISTRATIONS GREAT BRITAIN LTD.,DAMINOZIDA 85% [SG] P/P
15500,CRECEGEN MINOR,"NUFARM ESPAÑA, S.A.","ACIDO GIBERELICO 9% (0,09 G/TABLETA) [TB] P/P"
15524,AGROCOBRE 50 WP AZUL,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
15543,OXICOOP 50 AZUL PREMIUM,"IQV AGRO ESPAÑA, S.L.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
15544,SEMEFIL,"NUFARM ESPAÑA, S.A.","ACIDO GIBERELICO 9% (0,09 G/TABLETA) [TB] P/P"
15582,LONTREL SUPER,"DOW AGROSCIENCES IBERICA, S.A.","CLOPIRALIDA 42,5% (SAL AMINA) [SL] P/V"
15606,FRUIT- CLEANER,FOMESA FRUITECH S.L.,DETERGENTE BIODEGRADABLE 7% [SL] P/V
15608,FOAMER,FOMESA FRUITECH S.L.,2-FENILFENOL 13% (EXPR. EN OPP) [SL] P/V
15650,WATERWAX-2P,FOMESA FRUITECH S.L.,"2-FENILFENOL 0,25% [EW] P/V"
15715,SEMEFIL 20 SL,"NUFARM ESPAÑA, S.A.",ACIDO GIBERELICO 2% [SL] P/V
15721,BROMOXAN,"NUFARM ESPAÑA, S.A.","BROMOXINIL 23,5% (ESTER OCTANÓICO) [EC] P/V"
15757,LAIKUAJ,AIFAR AGROCHIMICA S.R.L.,ACIDO GIBERELICO 2% [SL] P/V
15771,MESUROL 4 CEBO,"BAYER CROPSCIENCE, S.L.",METIOCARB 4% [RB] P/P
15796,CLEMENFOL,"NUFARM ESPAÑA, S.A.",ACIDO GIBERELICO 2% [SL] P/V
15814,FUSILADE MAX,"NUFARM ESPAÑA, S.A.","FLUAZIFOP-P-BUTIL 12,5% [EC] P/V"
15834,WATERWAX 3I,FOMESA FRUITECH S.L.,"IMAZALIL 0,3% [EW] P/V"
15836,WATERWAX 2I,FOMESA FRUITECH S.L.,"IMAZALIL 0,2% [EW] P/V"
15843,CLAR-FRUT,"NUFARM ESPAÑA, S.A.",ANA 1% [SP] P/P
15903,PHOSTOXIN TABLET,DETIA FREYBERG GMBH,FOSFURO DE ALUMINIO 56% [GE] P/P
15905,POLICAR MZ,"UPL IBERIA, S.A.",MANCOZEB 80% [WP] P/P
15907,ALIETTE WG,"BAYER CROPSCIENCE, S.L.",FOSETIL-AL 80% [WG] P/P
15930,OROMANZI,"QUIMICAS ORO, S.A.",MANCOZEB 80% [WP] P/P
15954,FOLTENE,"ADAMA AGRICULTURE ESPAÑA, S.A.",FOLPET 50% [SC] P/V
15960,CUPROCHEM-M,"BIOGROOT, S.A.U","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
15961,BELPRON,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB 80% [WP] P/P
15996,ORTHOCIDE,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
16065,GALBEN M,"FMC Agricultural Solutions, S.A.U.",BENALAXIL 8% + MANCOZEB 65% [WP] P/P
16071,CITROL,"DENAGRO, S.L.U.","Aceite de parafina 65,4% [EW] P/V"
16092,TEYCER DB-OP,"TECNIDEX FRUIT PROTECTION, S.A.U.",2-FENILFENOL 13% (EXPR. EN OPP) [SL] P/V
16102,ARABELEX L,AIFAR AGROCHIMICA S.R.L.,ACIDO GIBERELICO 2% [SL] P/V
16103,FRUITEL,"BAYER CROPSCIENCE, S.L.",Etefon 48% [SL] P/V
16124,BRILLAQUA-2IZ,FOMESA FRUITECH S.L.,"IMAZALIL 0,2% [EW] P/V"
16170,CLERTHIN,"NUFARM ESPAÑA, S.A.","ANA AMIDA 8,2% [WP] P/P"
16178,AZUFRE MICRONIZADO AGROFIT,LIFE SCIENTIFIC SPAIN S.L.U.,AZUFRE 80% [DP] P/P
16192,OVIPRON,"UPL IBERIA, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
16232,CITRASHINE N-IMZ,DECCO IBERICA POST COSECHA S.A.U.,"IMAZALIL 0,2% [EW] P/V"
16233,CITRASHINE N-PE,DECCO IBERICA POST COSECHA S.A.U.,"2-FENILFENOL 0,25% [EW] P/V"
16235,CITRASHINE-N-T-IMZ,DECCO IBERICA POST COSECHA S.A.U.,"IMAZALIL 0,2% + Tiabendazol 0,5% [EW] P/V"
16245,MOJANTE AGROFIT,LIFE SCIENTIFIC SPAIN S.L.U.,ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
16246,ACEITE EMULSIONABLE AGROFIT,LIFE SCIENTIFIC SPAIN S.L.U.,"Aceite de parafina 65,4% [EW] P/V"
16252,SPASOR PLUS,"MONSANTO AGRICULTURA ESPAÑA, S.L.U.",GLIFOSATO 36% (SAL POTÁSICA) [SL] P/V
16259,AZUFRE MICRONIZADO 80,"FIELD PROTECTION, S.L.",AZUFRE 80% [DP] P/P
16275,BORDO COOP AZUL,"IQV AGRO ESPAÑA, S.L.",SULFATO CUPROCALCICO 20% [WP] P/P
16285,HUMECTOL,"INDUSTRIAS AFRASA, S.A.",MOJANTE NO IONICO 20% [SL] P/V
16286,SUPER-STOP-BROT 18,"PAMENA, S.L.",HIDRAZIDA MALEICA 18% (SAL POTÁSICA) [SL] P/V
16316,GIBERKEY LIQUIDO,AIFAR AGROCHIMICA S.R.L.,ACIDO GIBERELICO 2% [SL] P/V
16331,PHOSTOXIN-MG PLACAS,DETIA FREYBERG GMBH,FOSFURO DE MAGNESIO 56% (117 G/TABLETA) [FT] P/P
16356,HELIOSUFRE,ACTION PIN,AZUFRE 72% [SC] P/V
16394,FENGIB,L. GOBBI S.R.L.,"ACIDO GIBERELICO 0,5% + MCPA 1% (ESTER TIOETILICO) [EC] P/V"
16395,INACOP L,SIPCAM IBERIA S.L.,OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
16398,FASTAC,BASF ESPAÑOLA S.L.U.,ALFA CIPERMETRIN 10% [EC] P/V
16412,OXICLORURO DE COBRE 50% P.M.,"IQV AGRO ESPAÑA, S.L.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
16414,RIZOLEX,"KENOGARD, S.A.",METIL TOLCLOFOS 50% [WP] P/P
16417,MAVRIK,"ADAMA AGRICULTURE ESPAÑA, S.A.",TAU-FLUVALINATO 24% [EW] P/V
16419,SUFREVIT,SIPCAM IBERIA S.L.,AZUFRE 80% [SC] P/V
